make,model,parent_generation,review_description,rating_stars,review_title,review_author,helpful
AC,Shelby Cobra,1962-1967,"I bought the Coverland Premium Car Cover Waterproof All Weather for my Shelby Cobra, but I wasn't impressed. After a heavy rain, water leaked through the seams. I almost returned it, but my husband likes the other features, so he's going to try a waterproof spray on the seams to prevent leakage. Can't comment on durability after only one month.",2,,Michael Murphy,1
AC,Shelby Cobra,1962-1967,"I have purchased many car covers for my AC Shelby Cobra over the years, and this Coverland Premium Car Cover has been the best. It fits well and proved to be waterproof. It's also easy to put on and secure. The zippered entry by the driver's door is a great feature. The cover seems to be very durable and I believe it will last longer than the covers sold by Walmart. Overall, I am very impressed and satisfied with this car cover purchase.",5,,Van Kaufmann,20
AC,Shelby Cobra,1962-1967,"I was skeptical at first, but this Coverland Premium Car Cover for my Shelby Cobra turned out to be a great purchase. It fits perfectly and provides excellent protection against the weather. The cover is waterproof and has held up well. The customers service provided by Coverland was outstanding as well. When I contacted them about the cover only lasting a few months, they promptly sent me a new one. I highly recommend this cover for anyone looking to protect their car.",5,,Josephine Munos,20
AC,Shelby Cobra,1962-1967,"I wasn't sure about this Coverland Premium Car Cover at first, but it surpassed my expectations. It fits great and really covers the car. The waterproof feature has proven to be effective, and I believe this cover will last longer than others I've tried. I initially had doubts, but I am now a believer in this product. The straps and buckles keep it securely in place. Overall, I am very satisfied with this purchase.",5,,Shawn Minardi,15
AC,Shelby Cobra,1962-1967,"I was skeptical about the effectiveness of car covers in general, but this Coverland Premium Car Cover has proved me wrong. It fits well and provides excellent protection against the weather. I live in Florida and the cover has kept my car dry during heavy rainstorms. The material seems durable and high-quality. I am now a believer in the importance of using a car cover, and I highly recommend this one.",5,,Amanda Santos,15
AC,Shelby Cobra,1962-1967,"I was hesitant to purchase a car cover for my AC Shelby Cobra in Texas, but I am so glad I did. This Coverland Premium Car Cover has exceeded my expectations. It fits perfectly and stays in place even during strong winds. The waterproof feature has kept my car dry and protected from the intense sun. I highly recommend this cover to anyone living in Texas or any other hot and sunny location.",5,,Lila Daniels,15
AC,Shelby Cobra,1962-1967,"I bought the Coverland Premium Car Cover Waterproof All Weather for my friend in Louisiana, and he absolutely loved it. It fits his Shelby Cobra perfectly and provides excellent protection against the elements. He was impressed with the quality and durability of the cover. It was definitely a great gift choice.",5,,Mary Perdue,10
AC,Shelby Cobra,1962-1967,"Living in Florida, I needed a car cover that could withstand the heat and frequent rainstorms. This Coverland Premium Car Cover has been perfect for my AC Shelby Cobra. It fits well and provides excellent protection against the weather. I am very satisfied with this purchase and would recommend it to fellow Floridians.",5,,Tommy Williams,5
AC,Shelby Cobra,1962-1967,"Perfect car cover for my Shelby Cobra. (Helpful: 2, Rating: 5)",5,,Theresa Welch,2
AC,Shelby Cobra,1962-1967,"Provides good protection for my AC Shelby Cobra. Highly recommended. (Helpful: 1, Rating: 5)",5,,Nancy Ayala,1
