"type","make","model","parent_generation"
"Car Covers","AMC","Javelin","1968-1974"
"Car Covers","Chevrolet","Camaro","1982-1992"
"Car Covers","Chevrolet","Camaro","1993-2002"
"Car Covers","Chevrolet","Corvette","1953-1957"
"Car Covers","Chevrolet","Corvette","1958-1967"
"Car Covers","Chevrolet","Corvette","1968-1983"
"Car Covers","Chevrolet","Corvette","1984-1996"
"Car Covers","Chevrolet","Corvette","1997-2019"
"Car Covers","Chevrolet","Corvette","2020-2024"
"Car Covers","Chevrolet","El Camino","1964-1967"
"Car Covers","Chevrolet","El Camino","1968-1972"
"Car Covers","Chevrolet","El Camino","1978-1987"
"Car Covers","Dodge","Viper","1992-2017"
"Car Covers","Ford","GT","2005-2006"
"Car Covers","Ford","Mustang","1979-2004"
"Car Covers","Ford","Mustang Shelby","1967-1970"
"Car Covers","Hyundai","Ioniq 6","2023-2024"
"Car Covers","Lexus","ES","2013-2024"
"Car Covers","Maserati","MC20","2022-2024"
"Car Covers","Mercedes","E-Class","2017-2025"
"Car Covers","Mitsubishi","Mirage","2014-2024"
"Car Covers","Mitsubishi","Mirage G4","2017-2024"
"Car Covers","Oldsmobile","Hurst Olds","1968-1975"
"Car Covers","Oldsmobile","Hurst Olds","1979-1984"
"Car Covers","Pontiac","Grand Am","1992-2005"
"Car Covers","Porsche","911","1964-1998"
"Car Covers","Porsche","911","1999-2019"
"Car Covers","Porsche","911","2020-2024"
"Car Covers","Saab","9�� 3��","1999-2006"
"Car Covers","Saab","9�� 3��","2007-2012"
"Car Covers","Saab","9�� 5��","1999-2009"
"Car Covers","Saab","9�� 5��","2010-2011"
"Car Covers","Shelby","Daytona","1964-1965"
"SUV Covers","AM General","Hummer","1992-2004"
"SUV Covers","Acura","MDX","2014-2025"
"SUV Covers","Aston Martin","DBX","2021-2025"
"SUV Covers","Audi","E-Tron","2019-2024"
"SUV Covers","Audi","Q2","2017-2024"
"SUV Covers","Audi","Q4 Sportback e-tron","2022-2025"
"SUV Covers","Audi","Q4 e-tron","2022-2025"
"SUV Covers","Audi","Q5 Sportback","2021-2025"
"SUV Covers","Audi","Q8","2019-2024"
"SUV Covers","Audi","Q8 Sportback e-tron","2024-2025"
"SUV Covers","Audi","Q8 e-tron","2024-2025"
"SUV Covers","Audi","RS Q8","2020-2025"
"SUV Covers","Audi","SQ5 Sportback","2021-2025"
"SUV Covers","Audi","SQ7","2020-2025"
"SUV Covers","Audi","SQ8","2020-2025"
"SUV Covers","BMW","Alpina XB7","2021-2025"
"SUV Covers","BMW","X1","2013-2025"
"SUV Covers","BMW","X3 M","2020-2025"
"SUV Covers","BMW","X4","2014-2025"
"SUV Covers","BMW","X4 M","2020-2025"
"SUV Covers","BMW","X5","2019-2025"
"SUV Covers","BMW","X7 Alpina XB7","2021-2024"
"SUV Covers","BMW","XM","2023-2025"
"SUV Covers","BMW","iX","2022-2025"
"SUV Covers","Bentley","Bentayga","2016-2025"
"SUV Covers","Buick","Enclave","2008-2018"
"SUV Covers","Buick","Enclave","2019-2024"
"SUV Covers","Buick","Encore GX","2020-2024"
"SUV Covers","Buick","Envision","2016-2024"
"SUV Covers","Cadillac","Escalade","2021-2024"
"SUV Covers","Cadillac","Escalade ESV","2002-2024"
"SUV Covers","Cadillac","LYRIQ","2023-2025"
"SUV Covers","Cadillac","XT4","2019-2024"
"SUV Covers","Cadillac","XT6","2020-2024"
"SUV Covers","Chevrolet","Equinox","2005-2024"
"SUV Covers","Chevrolet","Suburban","1973-2024"
"SUV Covers","Chevrolet","Trailblazer","2021-2024"
"SUV Covers","Chevrolet","Trax","2024-2025"
"SUV Covers","Chrysler","Pacifica","2017-2024"
"SUV Covers","Dodge","Hornet","2023-2025"
"SUV Covers","Dodge","Ramcharger","1974-1980"
"SUV Covers","Dodge","Ramcharger","1981-1993"
"SUV Covers","Ford","Bronco","1966-1977"
"SUV Covers","Ford","Bronco","1978-1996"
"SUV Covers","Ford","Bronco","2021-2024"
"SUV Covers","Ford","Bronco Sport","2022-2024"
"SUV Covers","Ford","Mustang Mach-E","2021-2024"
"SUV Covers","GMC","Acadia","2024-2025"
"SUV Covers","GMC","Yukon","2021-2024"
"SUV Covers","GMC","Yukon XL","2000-2024"
"SUV Covers","Genesis","Electrified GV70","2023-2025"
"SUV Covers","Genesis","GV60","2023-2025"
"SUV Covers","Genesis","GV70","2021-2025"
"SUV Covers","Genesis","GV80","2020-2024"
"SUV Covers","Honda","BR-V","2016-2024"
"SUV Covers","Honda","CR-V","2023-2025"
"SUV Covers","Honda","CR-V Hybrid","2020-2024"
"SUV Covers","Honda","HR-V","2023-2025"
"SUV Covers","Honda","Pilot","2016-2025"
"SUV Covers","Hyundai","Creta","2016-2024"
"SUV Covers","Hyundai","IONIQ 5","2022-2025"
"SUV Covers","Hyundai","Kona","2018-2025"
"SUV Covers","Hyundai","Kona Electric","2019-2025"
"SUV Covers","Hyundai","Palisade","2020-2024"
"SUV Covers","Hyundai","Santa Cruz","2022-2025"
"SUV Covers","Hyundai","Santa Fe Hybrid","2021-2024"
"SUV Covers","Hyundai","Tucson","2022-2025"
"SUV Covers","Hyundai","Tucson Hybrid","2022-2025"
"SUV Covers","Infiniti","QX50","2014-2024"
"SUV Covers","Infiniti","QX55","2022-2024"
"SUV Covers","Infiniti","QX60","2014-2025"
"SUV Covers","Infiniti","QX80","2014-2024"
"SUV Covers","International","Scout II","1971-1980"
"SUV Covers","Jaguar","E-Pace","2018-2024"
"SUV Covers","Jaguar","F-Pace","2017-2024"
"SUV Covers","Jaguar","I-Pace","2019-2024"
"SUV Covers","Jeep","Wrangler","2007-2024"
"SUV Covers","Kia","Soul","2009-2013"
"SUV Covers","Kia","Soul","2014-2024"
"SUV Covers","Land Rover","Defender 110","1984-2011"
"SUV Covers","Land Rover","Defender 110","2012-2016"
"SUV Covers","Land Rover","Defender 90","2021-2024"
"SUV Covers","Land Rover","Discovery","1989-1998"
"SUV Covers","Land Rover","Discovery Series I","1990-1999"
"SUV Covers","Land Rover","Discovery Series II","1999-2004"
"SUV Covers","Land Rover","Discovery Sport","2015-2024"
"SUV Covers","Land Rover","Freelander","1997-2008"
"SUV Covers","Land Rover","Land Rover","1970-1974"
"SUV Covers","Land Rover","One Ten","1983-1990"
"SUV Covers","Land Rover","Range Rover","2003-2025"
"SUV Covers","Land Rover","Range Rover Sport","2023-2025"
"SUV Covers","Land Rover","Series I","1948-1958"
"SUV Covers","Land Rover","Series II","1958-1961"
"SUV Covers","Land Rover","Series IIA","1962-1971"
"SUV Covers","Land Rover","Series III","1972-1985"
"SUV Covers","Lexus","GX 460","2010-2024"
"SUV Covers","Lexus","LX 450","1996-1997"
"SUV Covers","Lexus","LX 600","2022-2024"
"SUV Covers","Lexus","NX 250","2022-2024"
"SUV Covers","Lexus","NX 350","2022-2024"
"SUV Covers","Lexus","NX 350h","2022-2024"
"SUV Covers","Lexus","NX 450h+","2022-2024"
"SUV Covers","Lexus","RX 350","2010-2025"
"SUV Covers","Lexus","RX 350h","2023-2025"
"SUV Covers","Lexus","RX 500h","2023-2025"
"SUV Covers","Lexus","RZ 450e","2023-2025"
"SUV Covers","Lexus","TX 350","2024-2025"
"SUV Covers","Lexus","UX 200","2019-2024"
"SUV Covers","Lexus","UX 200h","2019-2024"
"SUV Covers","Lincoln","Aviator","2020-2024"
"SUV Covers","Lincoln","Corsair","2020-2024"
"SUV Covers","Lincoln","MKC","2015-2024"
"SUV Covers","Lincoln","Nautilus","2019-2024"
"SUV Covers","MG","HS","2020-2024"
"SUV Covers","MG","ZS","2020-2024"
"SUV Covers","Maserati","Levante","2017-2024"
"SUV Covers","Mazda","CX-30","2020-2024"
"SUV Covers","Mazda","CX-50","2023-2025"
"SUV Covers","Mazda","CX-90","2024-2025"
"SUV Covers","Mazda","MX-30","2021-2024"
"SUV Covers","Mercedes","EQB-Class","2022-2025"
"SUV Covers","Mercedes","EQE-Class","2023-2025"
"SUV Covers","Mercedes","EQS-Class SUV","2023-2025"
"SUV Covers","Mercedes","G-Class","2002-2024"
"SUV Covers","Mercedes","G550 4x4","2017-2018"
"SUV Covers","Mercedes","GL-Class","2006-2016"
"SUV Covers","Mercedes","GLA-Class","2015-2025"
"SUV Covers","Mercedes","GLB-Class","2020-2024"
"SUV Covers","Mercedes","GLC-Class","2016-2025"
"SUV Covers","Mercedes","GLC-Class Coupe","2017-2025"
"SUV Covers","Mercedes","GLE-Class","2016-2024"
"SUV Covers","Mercedes","GLE-Class Coupe","2016-2024"
"SUV Covers","Mercedes","GLK-Class","2008-2015"
"SUV Covers","Mercedes","GLS-Class","2017-2024"
"SUV Covers","Mercedes","M-Class ML","1999-2005"
"SUV Covers","Mercedes","M-Class ML","2006-2015"
"SUV Covers","Mercedes","Maybach GLS","2021-2024"
"SUV Covers","Mercedes","R-Class","2006-2013"
"SUV Covers","Nissan","Ariya","2021-2024"
"SUV Covers","Nissan","Armada","2004-2024"
"SUV Covers","Nissan","Juke","2019-2024"
"SUV Covers","Nissan","Kicks","2018-2024"
"SUV Covers","Nissan","Pathfinder","2013-2025"
"SUV Covers","Nissan","Rogue","2008-2024"
"SUV Covers","Nissan","Rogue Sport","2017-2024"
"SUV Covers","Opel","Mokka X","2019-2024"
"SUV Covers","Peugeot","3008","2019-2024"
"SUV Covers","Peugeot","5008","2019-2024"
"SUV Covers","Porsche","Cayenne","2003-2024"
"SUV Covers","Porsche","Macan","2015-2024"
"SUV Covers","Renault","Duster","2013-2024"
"SUV Covers","Rivian","R1S","2022-2024"
"SUV Covers","Rolls-Royce","Black Badge","2020-2024"
"SUV Covers","Rolls-Royce","Cullinan","2019-2024"
"SUV Covers","Seat","Tarraco","2019-2024"
"SUV Covers","Subaru","Ascent","2019-2024"
"SUV Covers","Subaru","Crosstrek","2016-2025"
"SUV Covers","Suzuki","Grand Vitara","2022-2024"
"SUV Covers","Suzuki","Vitara","2015-2025"
"SUV Covers","Toyota","4Runner","1984-1998"
"SUV Covers","Toyota","4Runner","1999-2002"
"SUV Covers","Toyota","4Runner","2003-2024"
"SUV Covers","Toyota","Corolla Cross","2022-2025"
