"type","helpful","count"
"SUV Covers","30","28"
"Car Covers","30","5"
"Truck Covers","30","7"
"Car Covers","29","4"
"SUV Covers","29","23"
"Truck Covers","29","7"
"Car Covers","28","3"
"SUV Covers","28","9"
"Truck Covers","28","12"
"Truck Covers","27","11"
"SUV Covers","27","19"
"Truck Covers","26","9"
"Car Covers","26","6"
"SUV Covers","26","19"
"SUV Covers","25","7"
"Truck Covers","25","9"
"Car Covers","25","5"
"SUV Covers","24","27"
"Car Covers","24","4"
"Truck Covers","24","12"
"SUV Covers","23","15"
"Car Covers","23","2"
"Truck Covers","23","10"
"SUV Covers","22","13"
"Truck Covers","22","8"
"Car Covers","22","6"
"Truck Covers","21","9"
"Car Covers","21","2"
"SUV Covers","21","13"
"Truck Covers","20","8"
"Car Covers","20","6"
"SUV Covers","20","24"
"SUV Covers","19","18"
"Truck Covers","19","6"
"Car Covers","19","3"
"Truck Covers","18","9"
"SUV Covers","18","14"
"SUV Covers","17","23"
"Truck Covers","17","13"
"Car Covers","17","3"
"SUV Covers","16","13"
"Car Covers","16","1"
"Truck Covers","16","5"
"Truck Covers","15","51"
"Car Covers","15","12"
"SUV Covers","15","121"
"SUV Covers","14","113"
"Car Covers","14","18"
"Truck Covers","14","42"
"SUV Covers","13","89"
"Truck Covers","13","33"
"Car Covers","13","11"
"Car Covers","12","19"
"Truck Covers","12","54"
"SUV Covers","12","124"
"Truck Covers","11","59"
"SUV Covers","11","151"
"Car Covers","11","28"
"SUV Covers","10","125"
"Car Covers","10","26"
"Truck Covers","10","40"
"Car Covers","9","21"
"Truck Covers","9","38"
"SUV Covers","9","137"
"SUV Covers","8","139"
"Truck Covers","8","69"
"Car Covers","8","28"
"Truck Covers","7","46"
"SUV Covers","7","90"
"Car Covers","7","26"
"Car Covers","6","19"
"Truck Covers","6","58"
"SUV Covers","6","129"
"SUV Covers","5","136"
"Truck Covers","5","51"
"Car Covers","5","27"
"Car Covers","4","23"
"SUV Covers","4","124"
"Truck Covers","4","42"
"Truck Covers","3","55"
"Car Covers","3","23"
"SUV Covers","3","110"
"Truck Covers","2","52"
"Car Covers","2","21"
"SUV Covers","2","132"
