id,type,helpful
0340444a-9149-4b37-a46c-76bfa2bea0d8,Car Covers,35
05a47be6-94f4-421d-bc6d-cec9450c786c,Car Covers,35
07e87af5-ccf7-4aeb-9207-ef4d0a523666,Car Covers,7
09968d45-b481-4b76-83e2-06b26640dd3f,Car Covers,8
0caea79e-ad35-4890-9fa3-351feb5b03d6,Car Covers,35
0ef7d168-f17c-4540-8876-e3e868af08dd,Car Covers,35
0fa674d1-347a-4842-b814-1920a62857dd,Car Covers,18
101d1c4e-fdc0-4635-acdf-4831ee8fa923,Car Covers,13
10d8bf20-fe67-4d31-aabb-a642e62bd9f2,Car Covers,10
10ebc59a-3524-4e01-a791-e4516d86ed8a,Car Covers,16
1182332b-7c6d-40f9-9c86-f33b54a465b3,Car Covers,35
1442192b-69b8-49b6-9f6a-b25a23c4710b,Car Covers,5
15049186-1e3b-45ad-8d87-c99018f93ad3,Car Covers,35
1520c7e0-d6e2-49e7-a02b-adf98d68f919,Car Covers,3
1565b430-5b9c-480c-8191-9bb13553ebbb,Car Covers,8
15f09e30-eb8f-4a14-af3f-e3b3321ec49b,Car Covers,35
17ead1fc-a102-4901-bb01-d6e55aee26a3,Car Covers,10
1841c99c-cf46-4b8d-aea0-4b7f2aa40298,Car Covers,35
18b72aeb-975a-4381-9ccb-8ac27ae22586,Car Covers,18
18f586d1-39aa-42db-870b-10a1e6c38f58,Car Covers,35
1a246c2c-e94e-41b4-b7e6-c3e85108444e,Car Covers,35
1b68fc6a-c04a-4287-bd6e-1b3074fa6b5e,Car Covers,35
1c8fee27-6ed9-42c5-bb8c-a08948a63348,Car Covers,11
1d924434-827c-4ee4-a985-141358c6c932,Car Covers,35
1de15c36-e6a6-4ce0-92fb-d2319085818d,Car Covers,5
1df70fdd-a12d-4755-974a-0850ab3e47e3,Car Covers,35
1ea5e4e4-264b-4a4c-a3f6-4d519f7ab098,Car Covers,15
1f78910d-9e32-473e-a7e7-6b2eb5d4ccb0,Car Covers,35
257014f3-e202-46f8-870d-add4f0636a2a,Car Covers,16
289bf387-4278-439b-9ecf-c1d8c65d1bfd,Car Covers,35
28bf6453-c84a-47bf-81f7-4579e15cfc58,Car Covers,4
28d3fc37-adc0-47b4-80bb-e9e03ae2f74b,Car Covers,35
2a17df5b-84cf-4a9f-8164-88f03a654389,Car Covers,3
2a84daab-488d-4c53-8043-9025905396b2,Car Covers,10
2b215cbe-7c6f-4109-a9e4-9bb7cc29a6a3,Car Covers,35
2e65cde8-1467-4bc8-9ea7-92d4c07d5988,Car Covers,19
368f3b40-06bd-4ec2-ab97-d440eb0d3f82,Car Covers,8
3919dc6a-7de9-49de-a5c3-5a3f7fa8b169,Car Covers,8
3aac8a87-cf1b-4064-b999-337607ce282f,Car Covers,35
3b155bdc-9541-4b05-9b39-bc61f30c71f1,Car Covers,35
3c88fadd-3c92-4a5c-8def-eaa578e4fbbc,Car Covers,11
3cb02f00-3d03-4f49-98ec-d9fb4b659225,Car Covers,35
3cef9529-cfd4-4793-9b87-84f5639bb5d3,Car Covers,35
3ffae0b6-5542-4d7e-8aca-54b7a417827b,Car Covers,3
401692e9-260a-4c11-8ef1-425a9135a993,Car Covers,17
44ee6f0f-da21-42eb-b2b4-30e0c93d3296,Car Covers,35
4531a269-783b-4d6f-9e20-74cd53ea5d57,Car Covers,35
46b35c2e-fa44-46f7-a71e-3285e55d00e8,Car Covers,35
4739962a-c202-4673-9b94-f1f4a7880c7c,Car Covers,35
474fb670-e360-4625-805c-38fb864bf119,Car Covers,35
48d6140c-77f1-4d25-85b2-2502d5935057,Car Covers,19
48da1964-b782-4e0b-901a-1c4258011652,Car Covers,35
4968bac3-6f23-4706-b3e4-fcacee7e99fd,Car Covers,3
4b59036d-ee3d-44eb-837d-b447e34d100e,Car Covers,5
4c090df4-cf1e-4c68-80db-e52917a10b74,Car Covers,35
4c3928e6-b297-4960-87e2-1f18a69417ff,Car Covers,35
51be6f78-155f-471e-9821-88ed03c25634,Car Covers,5
529d16e9-5772-4d10-9c85-7807d70ef03d,Car Covers,5
54dcb8e7-45e6-4310-99f9-03420c812eb4,Car Covers,11
55978214-206b-4da0-a226-f15500de6044,Car Covers,35
5606de22-ff05-489b-a0ac-3821d4ecb3d5,Car Covers,35
568a49b1-4ab1-4545-b011-1c37971d9662,Car Covers,35
57a52d7e-3b1e-426e-91cb-7bd9ea367209,Car Covers,35
588b7ccb-9343-4568-9ee3-6b64a992a2f0,Car Covers,35
58bbf9eb-8890-4d2c-962b-83f41c286234,Car Covers,35
5bc5af78-4ca1-448d-ab59-9bd2dd442f73,Car Covers,35
5c07d55f-5056-4e02-b81a-f3ebdba8fecb,Car Covers,15
5d923b3b-3949-4585-9d99-4cb82a1a1b51,Car Covers,35
5de31400-ea39-43c7-af42-2ba04d5608ca,Car Covers,18
60687834-2774-4249-af80-375ea51d32a3,Car Covers,6
6255b26d-4223-4cb3-b3e9-26660303ebd4,Car Covers,35
638bfab5-161d-4086-b7bd-041735f54859,Car Covers,2
66c793c1-cfef-4b83-b991-2dee55f88b13,Car Covers,10
67412c98-d032-43d0-8eb1-b3cdd12c621e,Car Covers,35
6759dfd8-ff91-4f49-bd34-7b69eb2352a9,Car Covers,35
6a02b773-4b0a-4907-bd95-6ca3baee0b26,Car Covers,19
6afaf596-1136-4431-a892-82500f0255a7,Car Covers,35
6b00adcb-1c0b-496c-9a18-bad9ef38a4f4,Car Covers,35
6b666dd3-8c8e-4aeb-aa38-a28c1a9d3ad5,Car Covers,2
6be1045f-2e24-4d35-833e-86b98e4a34c6,Car Covers,35
6e26f405-4e41-4170-9409-4ba176e24547,Car Covers,35
71514e26-1956-4b96-9e19-4f8f7ca50185,Car Covers,8
749415f9-ca71-484d-934b-b4e25a89b652,Car Covers,11
75511200-6f39-4cd6-9088-5ca1af306fb8,Car Covers,35
76b04dc9-d001-4b23-a5ef-61229e071c9d,Car Covers,35
77bbad5e-5043-440d-9036-7b696c48cc1e,Car Covers,6
7857591d-827e-41be-8a7f-2c4c246843eb,Car Covers,35
7943c11a-e20b-4499-bbbb-803f86dfcd1a,Car Covers,35
79e1f531-8f54-4482-a0e5-523c5a4f1d3d,Car Covers,35
79e4287e-6ed7-49bd-b57f-a9a1de104c99,Car Covers,20
7bc9d5ff-fb82-452b-8e27-eef2532d50d6,Car Covers,19
7ccdd2ff-5a35-49aa-9f03-c823eaff1f03,Car Covers,19
7e740c6b-9a5c-4fb6-9074-9b89752afb8d,Car Covers,18
80147536-4a99-4193-b393-26f058a933fe,Car Covers,35
8057d2f8-321e-4d4a-a103-0662ebb090c7,Car Covers,35
81350a7c-c2a4-44f0-991a-76f8eb6ad8bf,Car Covers,35
84d1e253-124a-4df3-9fec-60dd3cfc93b0,Car Covers,35
8647cf78-92ef-49f1-b2b5-373fb14070e3,Car Covers,35
877d305a-aae5-4b93-b4f0-34707d33e4c0,Car Covers,35
882a77e9-43aa-4d1b-a236-fd210c9b295b,Car Covers,9
89e48ec5-9483-49a3-b9f3-6cab946b8073,Car Covers,5
8aeee3e3-6c0e-49e9-9d3d-d5ba7357f73d,Car Covers,20
8c773b7a-1fba-4e71-b899-fc3db19a8a9f,Car Covers,35
8d7d94b7-e641-4890-9e17-76e01420e320,Car Covers,8
8e025b13-ea10-4df0-8e8c-61af659dafba,Car Covers,19
8f931881-8bba-447e-98c6-d974807220ec,Car Covers,35
906f3118-640d-4dc7-ac07-d581a7d99322,Car Covers,35
90f35760-21df-4d76-8a13-de66ee355be2,Car Covers,16
